Aberporth,,,,
,,,,
,,,,
,,,,
,,,,
yyyy  mm,tmax,tmin,latitude,longitude
,degC,degC,-4.57,52.139
1941   1,---,---,,
1941   2,---,---,,
1941   3,---,---,,
1941   4,---,---,,
1941   5,---,---,,
1941   6,---,---,,
1941   7,---,---,,
1941   8,---,---,,
1941   9,---,---,,
1941  10,---,---,,
1941  11,---,---,,
1941  12,---,---,,
1942   1,5.8,2.1,,
1942   2,4.2,-0.6,,
1942   3,9.7,3.7,,
1942   4,13.1,5.3,,
1942   5,14,6.9,,
1942   6,16.2,9.9,,
1942   7,17.4,11.3,,
1942   8,18.7,12.3,,
1942   9,16.4,10.7,,
1942  10,13.1,8.2,,
1942  11,9.2,4.6,,
1942  12,9.6,6.2,,
1943   1,8.2,3.5,,
1943   2,8.9,4.6,,
1943   3,10.2,4.1,,
1943   4,13,6.8,,
1943   5,14.1,7.4,,
1943   6,15.9,9.8,,
1943   7,18.6,11.7,,
1943   8,18.1,12,,
1943   9,15.8,10,,
1943  10,13.6,8.3,,
1943  11,9.7,5.9,,
1943  12,6.9,2.7,,
1944   1,9.2,5.8,,
1944   2,6.5,3.1,,
1944   3,8.6,3.1,,
1944   4,12.7,6.6,,
1944   5,13.8,7,,
1944   6,15.4,9.9,,
1944   7,18.2,12.6,,
1944   8,19.7,12.8,,
1944   9,15.7,10.3,,
1944  10,12.1,7.8,,
1944  11,9.5,5.8,,
1944  12,7.7,4.3,,
1945   1,4.5,1.3,,
1945   2,9.6,5.1,,
1945   3,10.4,5.2,,
1945   4,13.3,6.6,,
1945   5,14.3,8.3,,
1945   6,16.5,10.2,,
1945   7,17.4,12.2,,
1945   8,18.1,11.9,,
1945   9,17.1,11.3,,
1945  10,15.2,9.1,,
1945  11,10.7,5.6,,
1945  12,8.9,5.1,,
1946   1,6.9,2.2,,
1946   2,8.2,4.9,,
1946   3,8.7,2.6,,
1946   4,12.8,6.3,,
1946   5,14.1,6.7,,
1946   6,14.6,8.8,,
1946   7,17.1,11.2,,
1946   8,16.3,11,,
1946   9,16.3,11.3,,
1946  10,---,8.2,,
1946  11,---,7.6,,
1946  12,7.2,3.1,,
1947   1,5.8,1.4,,
1947   2,---,-2.7,,
1947   3,---,2.2,,
1947   4,---,5.1,,
1947   5,13.9,8,,
1947   6,17,10.4,,
1947   7,17.4,11.7,,
1947   8,21.4,13.2,,
1947   9,17.5,11.4,,
1947  10,14.2,8,,
1947  11,10.1,6.5,,
1947  12,7.7,4.9,,
1948   1,8.2,4.6,,
1948   2,7.4,2.9,,
1948   3,13.5,5.8,,
1948   4,11.4,4.8,,
1948   5,14.2,6.7,,
1948   6,14.7,9.8,,
1948   7,16.9,11.6,,
1948   8,17,11.8,,
1948   9,15.7,11.1,,
1948  10,13.3,8.5,,
1948  11,11.5,6.9,,
1948  12,8.5,4.2,,
1949   1,8.6,5,,
1949   2,8.7,4.4,,
1949   3,8.7,3.3,,
1949   4,---,6.7,,
1949   5,13.4,6.6,,
1949   6,17.4,11.3,,
1949   7,19.9,12.5,,
1949   8,19,12.8,,
1949   9,19.5,12.5,,
1949  10,15.2,9.9,,
1949  11,10.2,6.1,,
1949  12,8.7,5.4,,
1950   1,7.3,3.2,,
1950   2,8.3,3.9,,
1950   3,10.8,4.8,,
1950   4,10.3,5.3,,
1950   5,14.7,7.6,,
1950   6,17.9,11.2,,
1950   7,17.9,12,,
1950   8,17.4,11.5,,
1950   9,15.3,10.7,,
1950  10,12.9,8,,
1950  11,9.1,4.8,,
1950  12,4.7,1.7,,
1951   1,6.7,3.2,,
1951   2,6.4,2,,
1951   3,6.9,2.2,,
1951   4,9.6,3.7,,
1951   5,12.5,6.3,,
1951   6,16.3,9.4,,
1951   7,18.3,11.8,,
1951   8,16.9,11.3,,
1951   9,16.4,11.8,,
1951  10,13.6,8.1,,
1951  11,11,7.2,,
1951  12,8.7,5.4,,
1952   1,6.2,2.8,,
1952   2,6.9,2.2,,
1952   3,9.4,4.7,,
1952   4,12.3,5.6,,
1952   5,15.2,8.9,,
1952   6,15.8,9.9,,
1952   7,18.6,12.4,,
1952   8,17.9,12.1,,
1952   9,14.2,8.8,,
1952  10,12.5,8,,
1952  11,7.8,4.3,,
1952  12,6.9,3.1,,
1953   1,6.8,2.9,,
1953   2,7.4,2.8,,
1953   3,9.8,2.4,,
1953   4,10.2,4,,
1953   5,15.2,8.6,,
1953   6,15.7,9.6,,
1953   7,17.2,11.7,,
1953   8,18.3,12.2,,
1953   9,16.2,11.2,,
1953  10,13.6,7.8,,
1953  11,11.2,7.4,,
1953  12,10.1,7,,
1954   1,6.3,2.9,,
1954   2,6.4,1.5,,
1954   3,9.1,3.8,,
1954   4,11.3,4.2,,
1954   5,13.3,7.6,,
1954   6,15.3,9.7,,
1954   7,15.8,11.1,,
1954   8,16.1,11.2,,
1954   9,15.3,10.2,,
1954  10,14.1,10.3,,
1954  11,10.4,5.9,,
1954  12,9.2,6.2,,
1955   1,6.1,2.4,,
1955   2,4.6,0.2,,
1955   3,6.9,0.5,,
1955   4,11.9,5.4,,
1955   5,12.6,6.9,,
1955   6,16.5,10.9,,
1955   7,19.2,11.6,,
1955   8,21.3,14,,
1955   9,17.2,11.6,,
1955  10,12.9,8,,
1955  11,10.3,5.2,,
1955  12,9.1,5.6,,
1956   1,7.1,3.6,,
1956   2,3.4,-1.8,,
1956   3,10.6,3.9,,
1956   4,10.6,3.8,,
1956   5,14.5,7.7,,
1956   6,15,9.3,,
1956   7,17.6,12,,
1956   8,15.7,10.7,,
1956   9,16.9,11.9,,
1956  10,12.7,8.2,,
1956  11,9.1,6,,
1956  12,8.5,5.4,,
1957   1,8.6,3.9,,
1957   2,8.5,3.2,,
1957   3,12.2,7.4,,
1957   4,11.3,6.2,,
1957   5,13.6,7.4,,
1957   6,18.2,10.6,,
1957   7,17.7,12.7,,
1957   8,17.7,12.5,,
1957   9,15.3,11.1,,
1957  10,13.8,9.3,,
1957  11,9.2,5.1,,
1957  12,8.4,3.3,,
1958   1,7.7,3.2,,
1958   2,8.4,3.7,,
1958   3,7.6,1.7,,
1958   4,10.6,4.6,,
1958   5,13.4,7.8,,
1958   6,16,10,,
1958   7,17.1,11.7,,
1958   8,17.2,12.7,,
1958   9,17.6,12.1,,
1958  10,13.1,9,,
1958  11,10.4,5.8,,
1958  12,8.3,3.8,,
1959   1,6.4,2.1,,
1959   2,8.8,2.9,,
1959   3,10.1,5.2,,
1959   4,11.5,6.4,,
1959   5,15.5,8.9,,
1959   6,17.3,10.9,,
1959   7,19.1,12.7,,
1959   8,19.1,13,,
1959   9,19.6,11.5,,
1959  10,16.2,10.8,,
1959  11,10.5,6.6,,
1959  12,9.1,4.9,,
1960   1,7.9,3.4,,
1960   2,7.1,2.3,,
1960   3,10,4.2,,
1960   4,10.9,5.6,,
1960   5,15.5,9.2,,
1960   6,18,11.6,,
1960   7,17,11.9,,
1960   8,17,12,,
1960   9,15.7,10.6,,
1960  10,13,8.4,,
1960  11,10.3,5.8,,
1960  12,7.3,2.8,,
1961   1,7.2,2.3,,
1961   2,9.5,5.6,,
1961   3,11,5.7,,
1961   4,12.4,6.7,,
1961   5,13.8,7.7,,
1961   6,16.7,10.2,,
1961   7,16.9,11.6,,
1961   8,17.6,12.1,,
1961   9,17.7,11.9,,
1961  10,13.4,8.5,,
1961  11,9.5,5.1,,
1961  12,6.5,1.7,,
1962   1,7.8,2.8,,
1962   2,7.4,3.2,,
1962   3,6.4,0.5,,
1962   4,10.3,4.4,,
1962   5,12.1,7.3,,
1962   6,16,9.3,,
1962   7,17,11.4,,
1962   8,16.2,11.5,,
1962   9,15,10.4,,
1962  10,13.9,8.2,,
1962  11,8.9,4.6,,
1962  12,6.4,1.8,,
1963   1,1.3,-3.5,,
1963   2,3.3,-1.9,,
1963   3,8.9,3.9,,
1963   4,10.9,5.4,,
1963   5,12.6,7.1,,
1963   6,16.9,10.7,,
1963   7,17.3,11.4,,
1963   8,16.3,11.5,,
1963   9,15.8,10.3,,
1963  10,13.8,9,,
1963  11,11.1,6.9,,
1963  12,6.2,1.2,,
1964   1,6.9,2.5,,
1964   2,7.3,2.9,,
1964   3,7.9,2.8,,
1964   4,11,5.6,,
1964   5,15.3,9.2,,
1964   6,15.6,10.3,,
1964   7,17.2,12.2,,
1964   8,17.7,12,,
1964   9,17.3,11.1,,
1964  10,12.8,7.4,,
1964  11,11,6.2,,
1964  12,7.8,2.4,,
1965   1,6.8,2.5,,
1965   2,5.6,1.4,,
1965   3,9.2,3.2,,
1965   4,11,5.2,,
1965   5,14.2,8.2,,
1965   6,15.8,9.9,,
1965   7,16.1,10.9,,
1965   8,17.7,12,,
1965   9,14.5,9.5,,
1965  10,15.1,8.8,,
1965  11,8.1,3.6,,
1965  12,8.8,4.2,,
1966   1,6,2.2,,
1966   2,8.3,4.2,,
1966   3,9.3,4.8,,
1966   4,10.7,5.1,,
1966   5,13.8,7.3,,
1966   6,16.8,11.2,,
1966   7,16.3,11.8,,
1966   8,17,11.1,,
1966   9,17,11.1,,
1966  10,13.1,8,,
1966  11,8.5,4.7,,
1966  12,8.9,4.9,,
1967   1,7.4,3.4,,
1967   2,8.1,3.3,,
1967   3,9.1,4.6,,
1967   4,9.8,5.1,,
1967   5,12,6.7,,
1967   6,16.3,10.1,,
1967   7,18.2,11.9,,
1967   8,17.5,11.9,,
1967   9,15.5,10.8,,
1967  10,12.9,8.5,,
1967  11,9.2,3.9,,
1967  12,8.1,4.2,,
1968   1,7.8,3.1,,
1968   2,5.5,0.2,,
1968   3,8.6,3.6,,
1968   4,10.8,4.2,,
1968   5,12,6.4,,
1968   6,16.4,10.3,,
1968   7,16.8,11.3,,
1968   8,18,12.6,,
1968   9,15.8,10.9,,
1968  10,14.7,10.8,,
1968  11,9.4,5.2,,
1968  12,6.7,2.4,,
1969   1,7.9,4.1,,
1969   2,4.5,0.1,,
1969   3,7.5,2,,
1969   4,10.5,4.5,,
1969   5,13.1,7.5,,
1969   6,16.2,9.6,,
1969   7,18.5,12.1,,
1969   8,17.2,12.5,,
1969   9,16.1,11.4,,
1969  10,16.1,10.8,,
1969  11,9,4.2,,
1969  12,6.8,2.4,,
1970   1,7.5,3.1,,
1970   2,6.2,1.9,,
1970   3,6.6,2,,
1970   4,8.8,4.2,,
1970   5,14.5,8.5,,
1970   6,18.5,11.5,,
1970   7,16.6,11.3,,
1970   8,17.8,12.3,,
1970   9,16.8,11.5,,
1970  10,13.3,8.6,,
1970  11,10.8,6.4,,
1970  12,7.5,3.3,,
1971   1,7.7,3.5,,
1971   2,7.4,2.7,,
1971   3,7.5,3.1,,
1971   4,10.7,4.7,,
1971   5,14.2,7.5,,
1971   6,14.7,9.1,,
1971   7,18.4,12.3,,
1971   8,17.2,12.5,,
1971   9,18.2,11.2,,
1971  10,14.9,9.1,,
1971  11,10.2,5.2,,
1971  12,9,5.3,,
1972   1,6.8,2.8,,
1972   2,7,2.7,,
1972   3,9.1,3.8,,
1972   4,10.2,5.6,,
1972   5,12,6.9,,
1972   6,12.9,7.7,,
1972   7,17,11.7,,
1972   8,16.5,11.2,,
1972   9,15.2,9,,
1972  10,13.9,8.5,,
1972  11,9.6,5.6,,
1972  12,9.2,4.7,,
1973   1,7.4,3.5,,
1973   2,7.1,3.2,,
1973   3,9.1,3.5,,
1973   4,9.2,4.5,,
1973   5,14.2,7.9,,
1973   6,16.2,10,,
1973   7,16.8,11.6,,
1973   8,19.5,13.2,,
1973   9,16.9,11.3,,
1973  10,12.8,7.9,,
1973  11,10.1,5.9,,
1973  12,8.4,3.7,,
1974   1,8.6,3.8,,
1974   2,7.9,3.1,,
1974   3,8.5,3,,
1974   4,12.4,5.2,,
1974   5,13,6.9,,
1974   6,15.8,10.1,,
1974   7,16.7,11.6,,
1974   8,17.1,11.1,,
1974   9,14,9.2,,
1974  10,10.5,6.8,,
1974  11,9.3,5.2,,
1974  12,9.9,6.2,,
1975   1,9.1,5,,
1975   2,8.7,2.8,,
1975   3,7.2,3,,
1975   4,10.3,5,,
1975   5,12.5,6.6,,
1975   6,17,10.5,,
1975   7,18.7,13,,
1975   8,19.3,13.6,,
1975   9,15.6,10,,
1975  10,13.4,7.9,,
1975  11,9.9,5.2,,
1975  12,8.3,4.6,,
1976   1,8,4.9,,
1976   2,7.1,2.6,,
1976   3,8.1,2.2,,
1976   4,10.5,4.4,,
1976   5,13.5,7.6,,
1976   6,18.9,11.1,,
1976   7,19.6,13.2,,
1976   8,20.4,13.5,,
1976   9,15.6,10.6,,
1976  10,12.7,7.5,,
1976  11,9.7,5.1,,
1976  12,5.6,1.6,,
1977   1,5.9,1.8,,
1977   2,8.3,3.4,,
1977   3,9.8,4.7,,
1977   4,9.3,4.7,,
1977   5,13.7,6.8,,
1977   6,14.3,8.9,,
1977   7,18.1,12.3,,
1977   8,18,11.7,,
1977   9,15.1,10.4,,
1977  10,14.7,9.8,,
1977  11,9,4.8,,
1977  12,8.7,4.9,,
1978   1,6.6,2.5,,
1978   2,5.5,1.5,,
1978   3,9,3.9,,
1978   4,9.4,3.7,,
1978   5,13.9,7.9,,
1978   6,15.2,9.8,,
1978   7,15.7,11.1,,
1978   8,16.3,11.5,,
1978   9,16.1,11.2,,
1978  10,14.4,10.3,,
1978  11,11.2,7.1,,
1978  12,7.7,3.3,,
1979   1,4.6,-0.4,,
1979   2,4.5,0.3,,
1979   3,6.9,2.2,,
1979   4,9.7,4.3,,
1979   5,11.6,5.4,,
1979   6,15.5,9.6,,
1979   7,17.6,11.9,,
1979   8,16.8,11.2,,
1979   9,15.7,10.3,,
1979  10,13.9,9.1,,
1979  11,10.4,5.7,,
1979  12,8.9,4.4,,
1980   1,5.8,1,,
1980   2,8.7,4.3,,
1980   3,7.5,2.9,,
1980   4,10.5,5.6,,
1980   5,14.5,7.2,,
1980   6,15.2,10.2,,
1980   7,16.6,11,,
1980   8,17.7,12.5,,
1980   9,16.4,11.5,,
1980  10,11.8,7.2,,
1980  11,9.1,5.5,,
1980  12,8.9,4.4,,
1981   1,8,3.6,,
1981   2,6.4,1.1,,
1981   3,9.9,5.7,,
1981   4,11.2,5.1,,
1981   5,13.8,7.4,,
1981   6,15,9.8,,
1981   7,16.5,11.6,,
1981   8,18.4,12.5,,
1981   9,17.3,10.8,,
1981  10,11,6.5,,
1981  11,10.7,6.2,,
1981  12,5.5,0.6,,
1982   1,6.2,2.5,,
1982   2,8.2,3,,
1982   3,8.7,3.3,,
1982   4,10.7,5.3,,
1982   5,14.5,7.5,,
1982   6,17.8,10.7,,
1982   7,17.9,12.3,,
1982   8,17.2,12,,
1982   9,16.6,10.7,,
1982  10,12.7,7.9,,
1982  11,10.6,6.4,,
1982  12,8.1,3.2,,
