yyyy,mm,tmax,tmin,latitude,longitude
,,degC,degC,-2.584,51.911
1930,12,7.4,2,,
1931,1,6.7,0.6,,
1931,2,7.3,1.3,,
1931,3,8.6,-0.5,,
1931,4,11.2,4.7,,
1931,5,15.5,7,,
1931,6,19,10.8,,
1931,7,19,11.7,,
1931,8,18.7,10.6,,
1931,9,15.9,7.8,,
1931,10,13.4,3.9,,
1931,11,11.1,5.2,,
1931,12,8,3.2,,
1932,1,9.3,3.6,,
1932,2,5.7,0.3,,
1932,3,9.2,0.1,,
1932,4,10.3,3.4,,
1932,5,14.2,6.9,,
1932,6,19.5,9.1,,
1932,7,20.1,12.4,,
1932,8,22.2,13,,
1932,9,17.6,8.8,,
1932,10,12.9,4.2,,
1932,11,9.4,3.7,,
1932,12,8.2,3.5,,
1933,1,5.6,-1,,
1933,2,7.7,0.4,,
1933,3,12.6,2.3,,
1933,4,13.9,3.5,,
1933,5,17.2,7.5,,
1933,6,20.8,10,,
1933,7,23,12.6,,
1933,8,23.4,11.9,,
1933,9,20,9.7,,
1933,10,13.4,5.9,,
1933,11,8.4,2.6,,
1933,12,3.3,-1.2,,
1934,1,7.9,1,,
1934,2,7.9,-0.8,,
1934,3,9.3,1,,
1934,4,12.1,4.2,,
1934,5,17.1,6.7,,
1934,6,20.7,10.4,,
1934,7,24.8,12.6,,
1934,8,20.4,10.4,,
1934,9,19.2,9.3,,
1934,10,13.8,6.9,,
1934,11,9,3.5,,
1934,12,10.5,6,,
1935,1,7.5,2.9,,
1935,2,9.7,3.2,,
1935,3,10.9,2.4,,
1935,4,12.5,4.5,,
1935,5,15.1,5.2,,
1935,6,19.5,11,,
1935,7,23,12.5,,
1935,8,22.4,11,,
1935,9,18,9.6,,
1935,10,13.5,5.5,,
1935,11,9.9,3.7,,
1935,12,6.1,1.3,,
1936,1,6.8,1,,
1936,2,5.9,-1.3,,
1936,3,10.7,3.5,,
1936,4,10.2,2.7,,
1936,5,16.6,6.8,,
1936,6,19.3,9.9,,
1936,7,18.5,11.6,,
1936,8,21.3,11.2,,
1936,9,18.3,10.1,,
1936,10,13.3,4.9,,
1936,11,8.9,2.5,,
1936,12,8.7,3.2,,
1937,1,8.4,2.9,,
1937,2,8.9,3.6,,
1937,3,7.1,0.2,,
1937,4,13.1,5.7,,
1937,5,16.6,7.3,,
1937,6,19,9.3,,
1937,7,20.2,12,,
1937,8,22.3,10.8,,
1937,9,18.1,8.6,,
1937,10,13.8,6.3,,
1937,11,7.7,1.2,,
1937,12,5.8,0.4,,
1938,1,9.1,3.7,,
1938,2,8.1,2.3,,
1938,3,14.4,3.3,,
1938,4,13.4,1.9,,
1938,5,15.4,6.5,,
1938,6,19.1,10.4,,
1938,7,19.7,10.9,,
1938,8,20,11.5,,
1938,9,18.2,8.2,,
1938,10,14.2,7.1,,
1938,11,12.4,6.5,,
1938,12,7.4,1.9,,
1939,1,7.3,2.1,,
1939,2,9.1,2.4,,
1939,3,9.4,3,,
1939,4,13.4,3.9,,
1939,5,16.4,6.5,,
1939,6,19.7,9.5,,
1939,7,18.8,11.2,,
1939,8,21.1,11.7,,
1939,9,18.5,9.3,,
1939,10,12.1,3.3,,
1939,11,12.2,6.1,,
1939,12,5.8,0.4,,
1940,1,1.9,-5.3,,
1940,2,5.8,-0.2,,
1940,3,10.9,1.8,,
1940,4,13.7,4.4,,
1940,5,17.9,7.2,,
1940,6,22.3,10.8,,
1940,7,19.7,10.5,,
1940,8,21.1,10.3,,
1940,9,18.6,7.3,,
1940,10,13.2,5.8,,
1940,11,10.2,4.2,,
1940,12,7,1.1,,
1941,1,2.8,-1.5,,
1941,2,7,0.9,,
1941,3,9.2,1.3,,
1941,4,10.9,3.1,,
1941,5,13.9,4.7,,
1941,6,20.3,10.5,,
1941,7,22.3,12.1,,
1941,8,19.1,10.7,,
1941,9,18.7,9.8,,
1941,10,14.3,6,,
1941,11,10,4.2,,
1941,12,8.6,3.1,,
1942,1,4.3,-1.4,,
1942,2,3.9,-2.8,,
1942,3,9.3,1.9,,
1942,4,14.1,5.2,,
1942,5,16.2,6.4,,
1942,6,20.4,9.2,,
1942,7,20.3,11.2,,
1942,8,20.3,12.1,,
1942,9,18.1,9,,
1942,10,14.5,6.5,,
1942,11,8.2,1.2,,
1942,12,9.8,5.2,,
1943,1,8.4,3.2,,
1943,2,9.8,3.4,,
1943,3,11.4,1.7,,
1943,4,15.5,6.1,,
1943,5,17.1,7.1,,
1943,6,18.7,10.2,,
1943,7,22,11.4,,
1943,8,20.2,11.8,,
1943,9,17.8,7.7,,
1943,10,15.2,5.8,,
1943,11,9.9,3.6,,
1943,12,6.5,1,,
1944,1,9.6,3.4,,
1944,2,6.5,1,,
1944,3,10.3,0.5,,
1944,4,15.3,5.4,,
1944,5,17.5,5.9,,
1944,6,18.2,9.5,,
1944,7,20.5,12.8,,
1944,8,22.1,11.8,,
1944,9,17.2,7,,
1944,10,12.7,6,,
1944,11,9.9,3.8,,
1944,12,6.6,1.2,,
1945,1,3.8,-2,,
1945,2,11.1,4.5,,
1945,3,12.8,3,,
1945,4,15.7,5.5,,
1945,5,17.4,7.9,,
1945,6,19.2,10.5,,
1945,7,20.8,12.4,,
1945,8,20.4,11.7,,
1945,9,17.7,10.9,,
1945,10,15.3,8,,
1945,11,9.7,4.4,,
1945,12,8.2,3.3,,
1946,1,6.2,-0.1,,
1946,2,9.4,4.4,,
1946,3,9.7,1.5,,
1946,4,15.5,5.2,,
1946,5,15,6.3,,
1946,6,17,9,,
1946,7,20.9,12.2,,
1946,8,18.3,10.8,,
1946,9,17.7,11,,
1946,10,12.9,6.8,,
1946,11,11.2,6.2,,
1946,12,6.7,0,,
1947,1,5.3,-0.3,,
1947,2,0.2,-4.3,,
1947,3,7.4,0.8,,
1947,4,12.6,5.4,,
1947,5,17.9,8.9,,
1947,6,20.1,11.4,,
1947,7,21.1,12.7,,
1947,8,24.5,12.4,,
1947,9,19.3,10.6,,
1947,10,14.8,5.6,,
1947,11,10.9,4.9,,
1947,12,8.3,3.3,,
1948,1,9,3.5,,
1948,2,7.6,2.4,,
1948,3,13.7,3.4,,
1948,4,14,3.9,,
1948,5,17.2,5.8,,
1948,6,18,10.4,,
1948,7,20.5,11.8,,
1948,8,18.9,11.9,,
1948,9,18.3,10.7,,
1948,10,14.1,6.6,,
1948,11,11.1,4.8,,
1948,12,9,2.9,,
1949,1,9,3.4,,
1949,2,10,1.8,,
1949,3,9.5,2,,
1949,4,14.5,6.3,,
1949,5,16.3,6.6,,
1949,6,21.2,10.2,,
1949,7,23.7,12.5,,
1949,8,22.4,12.1,,
1949,9,20.7,12.1,,
1949,10,15.7,8.6,,
1949,11,9.8,3.9,,
1949,12,9.1,3.5,,
1950,1,7,1.9,,
1950,2,9.3,2.6,,
1950,3,11.8,3.6,,
1950,4,12.2,4.4,,
1950,5,15.8,7.3,,
1950,6,21.1,11.7,,
1950,7,19.8,12,,
1950,8,19.4,11.7,,
1950,9,16.8,9.9,,
1950,10,13.5,6.6,,
1950,11,8.7,2.9,,
1950,12,4.1,-0.7,,
1951,1,7,2,,
1951,2,6.9,1.5,,
1951,3,7.6,1.3,,
1951,4,11.5,3.5,,
1951,5,14.1,6.3,,
1951,6,18.9,9.6,,
1951,7,21.6,11.5,,
1951,8,18.9,11.2,,
1951,9,17.9,10.6,,
1951,10,13.3,5.6,,
1951,11,11.4,5.7,,
1951,12,9.4,3.2,,
1952,1,6.4,0.3,,
1952,2,7.1,-0.2,,
1952,3,10.3,4.2,,
1952,4,14.4,4.8,,
1952,5,17.9,8.8,,
1952,6,19.1,9.9,,
1952,7,21.5,12.6,,
1952,8,20.3,12.2,,
1952,9,15.1,6.9,,
1952,10,12.8,5.9,,
1952,11,7.2,1.7,,
1952,12,6.6,0.3,,
1953,1,6.1,0.2,,
1953,2,7.5,1.4,,
1953,3,9.7,0.8,,
1953,4,11.9,3.4,,
1953,5,17.7,8.4,,
1953,6,18.7,9.9,,
1953,7,19.9,12,,
1953,8,20.9,11.8,,
1953,9,17.9,10,,
1953,10,13.6,5.2,,
1953,11,11.5,5.7,,
1953,12,9.6,5,,
1954,1,5.9,0.2,,
1954,2,6.5,0.7,,
1954,3,9.6,3,,
1954,4,12.9,3.3,,
1954,5,15.4,7.3,,
1954,6,17.2,10.4,,
1954,7,18,11.3,,
1954,8,18.6,10.9,,
1954,9,17.2,9.4,,
1954,10,15.5,9.2,,
1954,11,10.6,4.1,,
1954,12,10,4.8,,
1955,1,5.7,-0.1,,
1955,2,4.6,-1.1,,
1955,3,7.4,-0.5,,
1955,4,14.2,5.6,,
1955,5,14.2,6.2,,
1955,6,18.2,10.2,,
1955,7,23.3,12.3,,
1955,8,23.6,13.2,,
1955,9,19.3,9.6,,
1955,10,14,4.5,,
1955,11,9.9,3.7,,
1955,12,9.5,3.1,,
1956,1,7.3,1.3,,
1956,2,3.1,-3.4,,
1956,3,11,2.2,,
1956,4,12.1,3.1,,
1956,5,17.1,6.7,,
1956,6,18.1,9.8,,
1956,7,20.5,12.3,,
1956,8,18,10.1,,
1956,9,18,11.1,,
1956,10,13.4,5.5,,
1956,11,9.2,3.3,,
1956,12,8.5,3.2,,
1957,1,8.5,3.2,,
1957,2,9,2.4,,
1957,3,13.8,6,,
1957,4,13.5,5.1,,
1957,5,15.4,6.2,,
1957,6,22,9.6,,
1957,7,20.9,13.1,,
1957,8,20.4,12,,
1957,9,16.7,9.6,,
1957,10,14.9,7.1,,
1957,11,8.8,3.2,,
1957,12,7.3,1.1,,
1958,1,6.9,0.7,,
1958,2,9.2,2.3,,
1958,3,7.5,0.8,,
1958,4,12.1,3.6,,
1958,5,16.3,7.9,,
1958,6,18.7,10,,
1958,7,20.7,12,,
1958,8,20.2,12.4,,
1958,9,18.5,11.2,,
1958,10,14.1,8.4,,
1958,11,9.2,3.5,,
1958,12,7.5,2.6,,
1959,1,5.3,-0.5,,
1959,2,7.3,1.5,,
1959,3,10.9,4.4,,
1959,4,13.9,5.8,,
1959,5,18.1,7.8,,
1959,6,20.2,10.5,,
1959,7,22.5,12.4,,
1959,8,22.4,12,,
1959,9,21.2,8.6,,
1959,10,17.3,7.9,,
1959,11,10.2,4.2,,
1959,12,9.1,3.7,,
1960,1,6.9,1.8,,
1960,2,7.3,1.9,,
1960,3,9.6,3.7,,
1960,4,13.6,5.2,,
1960,5,17.8,8.6,,
1960,6,21.5,11.5,,
1960,7,19.2,11.6,,
1960,8,19.6,11.1,,
1960,9,16.9,9.2,,
1960,10,13.3,7.4,,
1960,11,10.5,4.6,,
1960,12,6.8,2,,
1961,1,6.8,1.7,,
1961,2,10.5,5.1,,
1961,3,13.6,2.9,,
1961,4,14,6.9,,
1961,5,15.9,6.7,,
1961,6,20,9.1,,
1961,7,20.1,11.1,,
1961,8,20.4,11.8,,
1961,9,19.5,10.7,,
1961,10,14.5,7,,
1961,11,9.1,2.7,,
1961,12,4.9,-0.1,,
1962,1,7.7,1.5,,
1962,2,8,2.1,,
1962,3,7.2,-1.5,,
1962,4,12.1,4.1,,
1962,5,14.4,6.6,,
1962,6,19.3,9.2,,
1962,7,19.4,11.2,,
1962,8,18.3,11,,
1962,9,16.5,9.3,,
1962,10,14.3,6.1,,
1962,11,8.3,2.6,,
1962,12,4.9,-0.9,,
1963,1,-0.2,-6.7,,
1963,2,2.2,-4.3,,
1963,3,9.6,2.6,,
1963,4,12.5,5.2,,
1963,5,15,6.6,,
1963,6,19.3,10.9,,
1963,7,19.7,11.3,,
1963,8,18.4,10.6,,
1963,9,17.4,9,,
1963,10,14.4,8.1,,
1963,11,11.3,5.7,,
1963,12,5.2,-0.2,,
1964,1,5.8,0.5,,
1964,2,7.5,2,,
1964,3,7.5,2,,
1964,4,12.6,5,,
1964,5,17.4,9,,
1964,6,18.1,10.1,,
1964,7,20.8,11.5,,
1964,8,20.6,10.8,,
1964,9,20,9,,
1964,10,12.9,4.1,,
1964,11,11,5,,
1964,12,6.6,0.1,,
1965,1,6.7,1.5,,
1965,2,5.7,0.4,,
1965,3,9.9,1,,
1965,4,13.1,4,,
1965,5,16.2,7.5,,
1965,6,19.1,10,,
1965,7,18.2,10.5,,
1965,8,19.9,11,,
1965,9,16.2,8.4,,
1965,10,14.4,7,,
1965,11,7.9,2.2,,
1965,12,8.6,2.3,,
1966,1,5.4,1,,
1966,2,8.4,4.2,,
1966,3,10.6,2.6,,
1966,4,10.7,4.3,,
1966,5,16.1,6.9,,
1966,6,20.1,11.2,,
1966,7,19.9,11,,
1966,8,19.7,10.9,,
1966,9,18.2,9.6,,
1966,10,14.1,6.6,,
1966,11,8.4,2.7,,
1966,12,9.7,3.7,,
1967,1,7.4,2.4,,
1967,2,9.1,2.1,,
1967,3,11,4.2,,
1967,4,12.4,4.5,,
1967,5,14.7,7,,
1967,6,19.8,9.7,,
1967,7,21.9,12.4,,
1967,8,20.4,11.6,,
1967,9,17.6,10.5,,
1967,10,14,8.6,,
1967,11,8.7,2.7,,
1967,12,7.4,1.5,,
1968,1,7.8,2.2,,
1968,2,4.5,-0.7,,
1968,3,10.4,3,,
1968,4,12.7,3.6,,
1968,5,14.5,5.6,,
1968,6,19.7,10.8,,
1968,7,19.8,11.2,,
1968,8,19.7,12,,
1968,9,17.7,10.2,,
1968,10,15.6,10.2,,
1968,11,9.1,4.4,,
1968,12,5.7,1.3,,
1969,1,8.5,3.1,,
1969,2,3.9,-1.4,,
1969,3,7.1,0.8,,
1969,4,13.1,3.4,,
1969,5,15.5,7.6,,
1969,6,19.5,9.1,,
1969,7,22.3,11.9,,
1969,8,20.8,12.6,,
1969,9,17.3,9.7,,
1969,10,16.7,8.9,,
1969,11,9.3,3,,
1969,12,6.4,0.6,,
1970,1,7.3,1.5,,
1970,2,6.7,0.5,,
1970,3,7.7,1.2,,
1970,4,10.9,3.3,,
1970,5,18,8.6,,
1970,6,21.3,11.1,,
1970,7,19.8,11.4,,
1970,8,20.4,11.4,,
1970,9,19.2,10.4,,
1970,10,14.4,7,,
1970,11,11.5,5.5,,
1970,12,6.7,1.6,,
1971,1,7.2,2.4,,
1971,2,8,1.3,,
1971,3,8.8,2.3,,
1971,4,12,4,,
1971,5,17,7,,
1971,6,16.7,9.1,,
1971,7,23,11.9,,
1971,8,20.1,12.3,,
1971,9,20.1,9.2,,
1971,10,15.9,7.2,,
1971,11,10.4,2.1,,
1971,12,8.9,4.5,,
1972,1,6.6,2,,
1972,2,7.4,2.2,,
1972,3,11.2,2.8,,
1972,4,12.6,5.1,,
1972,5,14.3,7.2,,
1972,6,16,7.9,,
1972,7,20.6,11.4,,
1972,8,20.6,10.8,,
1972,9,16.3,7.1,,
1972,10,14.1,6.9,,
1972,11,10.3,3.3,,
1972,12,8.6,3.4,,
1973,1,7.5,2.7,,
1973,2,8,1.5,,
1973,3,11,1.7,,
1973,4,11.9,3.6,,
1973,5,16.1,7.3,,
1973,6,20.1,10.1,,
1973,7,20.6,11.5,,
1973,8,21.9,12,,
1973,9,19,10,,
1973,10,13.2,5.5,,
1973,11,10.2,3.4,,
1973,12,8.8,2.7,,
1974,1,9.2,3.6,,
1974,2,8.8,2.9,,
1974,3,9.3,2.3,,
1974,4,12.7,3.9,,
1974,5,15.9,6.5,,
1974,6,18.7,9.4,,
1974,7,19.3,11.5,,
1974,8,20.2,10.1,,
1974,9,16,8.7,,
1974,10,11.3,5.1,,
1974,11,10.2,4,,
1974,12,11.3,6.2,,
1975,1,10,4.7,,
1975,2,7.3,1.8,,
1975,3,8.1,2.3,,
1975,4,13,5,,
1975,5,15.1,5.9,,
1975,6,21.2,9.2,,
1975,7,22.9,12.8,,
1975,8,24.5,*   13.3,,
1975,9,18,*    8.9,,
1975,10,14.1,*    6.1,,
1975,11,10.1,*    3.1,,
1975,12,8.1,*    2.2,,
1976,1,8.9,*    3.6,,
1976,2,7.6,*    2.1,,
1976,3,8.8,*    1.4,,
1976,4,13,*    4.2,,
1976,5,17,*    7.7,,
1976,6,23.3,*   11.7,,
1976,7,25,*   12.6,,
1976,8,24.6,*   11.4,,
1976,9,17.5,*    9.5,,
1976,10,13.7,*    7.4,,
1976,11,9.5,*    3.1,,
1976,12,4.4,*   -0.6,,
1977,1,5.5,*    0.2,,
1977,2,8.4,*    2.6,,
1977,3,10.5,*    4.2,,
1977,4,11.7,*    3.7,,
1977,5,16.1,*    5.8,,
1977,6,17.3,*    8.4,,
1977,7,21.1,*   11.6,,
1977,8,19.9,*   11.3,,
1977,9,17,*    9.5,,
1977,10,15.1,*    8.2,,
1977,11,9.7,*    3.5,,
1977,12,8.9,*    4.1,,
1978,1,6.6,*    1.2,,
1978,2,5.9,*    0.0,,
